GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ElevatorManager,net.mooctest,PredictiveSchedulingStrategy,55,0,4,0,13,0,5,0,3,0
ElevatorManager,net.mooctest,MaintenanceManager.MaintenanceRecord,21,0,0,0,8,0,4,0,4,0
ElevatorManager,net.mooctest,Scheduler,241,0,22,0,60,0,21,0,10,0
ElevatorManager,net.mooctest,EventType,44,0,0,0,2,0,1,0,1,0
ElevatorManager,net.mooctest,AnalyticsEngine.Report,15,0,0,0,6,0,3,0,3,0
ElevatorManager,net.mooctest,Priority,34,0,0,0,2,0,1,0,1,0
ElevatorManager,net.mooctest,ThreadPoolManager,55,0,6,0,20,0,7,0,4,0
ElevatorManager,net.mooctest,LogManager,96,0,10,0,20,0,12,0,7,0
ElevatorManager,net.mooctest,LogManager.SystemLog,21,0,0,0,8,0,4,0,4,0
ElevatorManager,net.mooctest,MaintenanceManager,127,0,8,0,37,0,12,0,8,0
ElevatorManager,net.mooctest,RequestType,24,0,0,0,2,0,1,0,1,0
ElevatorManager,net.mooctest,HighEfficiencyStrategy,54,0,12,0,10,0,9,0,3,0
ElevatorManager,net.mooctest,EventBus,63,0,8,0,17,0,9,0,5,0
ElevatorManager,net.mooctest,Floor,77,0,0,0,17,0,4,0,4,0
ElevatorManager,net.mooctest,SecurityMonitor.SecurityEvent,21,0,0,0,8,0,4,0,4,0
ElevatorManager,net.mooctest,EventBus.Event,15,0,0,0,6,0,3,0,3,0
ElevatorManager,net.mooctest,ElevatorManager,45,0,4,0,13,0,7,0,5,0
ElevatorManager,net.mooctest,SecurityMonitor,92,0,6,0,22,0,7,0,4,0
ElevatorManager,net.mooctest,AnalyticsEngine,69,0,6,0,18,0,9,0,6,0
ElevatorManager,net.mooctest,ElevatorStatus,64,0,0,0,2,0,1,0,1,0
ElevatorManager,net.mooctest,NotificationService.Notification,21,0,0,0,8,0,4,0,4,0
ElevatorManager,net.mooctest,MaintenanceManager.MaintenanceTask,21,0,0,0,8,0,4,0,4,0
ElevatorManager,net.mooctest,Event,15,0,0,0,6,0,3,0,3,0
ElevatorManager,net.mooctest,PassengerRequest,82,0,2,0,18,0,10,0,9,0
ElevatorManager,net.mooctest,EnergySavingStrategy,48,0,10,0,11,0,7,0,2,0
ElevatorManager,net.mooctest,NotificationService.EmailChannel,22,0,0,0,4,0,3,0,3,0
ElevatorManager,net.mooctest,SpecialNeeds,44,0,0,0,2,0,1,0,1,0
ElevatorManager,net.mooctest,Elevator,441,0,30,0,122,0,49,0,34,0
ElevatorManager,net.mooctest,NearestElevatorStrategy,56,0,12,0,14,0,9,0,3,0
ElevatorManager,net.mooctest,SystemConfig,58,0,10,0,23,0,13,0,8,0
ElevatorManager,net.mooctest,NotificationService.NotificationType,44,0,0,0,2,0,1,0,1,0
ElevatorManager,net.mooctest,ElevatorStatusReport,90,0,0,0,18,0,9,0,9,0
ElevatorManager,net.mooctest,NotificationService,60,0,8,0,16,0,7,0,3,0
ElevatorManager,net.mooctest,ElevatorMode,34,0,0,0,2,0,1,0,1,0
ElevatorManager,net.mooctest,NotificationService.SMSChannel,30,0,4,0,4,0,5,0,3,0
ElevatorManager,net.mooctest,Direction,24,0,0,0,2,0,1,0,1,0
