GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SortFactory,net.mooctest,ParallelMergeSort,2,110,0,6,1,21,1,8,1,5
SortFactory,net.mooctest,OptimizedQuickSort,2,315,0,26,1,61,1,23,1,10
SortFactory,net.mooctest,BSTDataStructure.Node,0,15,0,0,0,4,0,1,0,1
SortFactory,net.mooctest,HashTableDataStructure,4,92,0,4,1,18,1,8,1,6
SortFactory,net.mooctest,ParallelMergeSort.MergeSortTask,9,172,2,14,1,28,2,9,0,3
SortFactory,net.mooctest,LinkedListDataStructure.Node,0,12,0,0,0,4,0,1,0,1
SortFactory,net.mooctest,ConcurrentAlgorithmManager,12,83,1,3,1,19,1,7,0,6
SortFactory,net.mooctest,QuickSort,0,193,0,12,0,41,0,15,0,9
SortFactory,net.mooctest,PerformanceTracker,0,64,0,2,0,13,0,6,0,5
SortFactory,net.mooctest,InvalidDataException,0,4,0,0,0,2,0,1,0,1
SortFactory,net.mooctest,HeapDataStructure,0,81,0,4,0,17,0,9,0,7
SortFactory,net.mooctest,AlgorithmPerformance,0,96,0,0,0,19,0,7,0,7
SortFactory,net.mooctest,ArrayDataStructure,0,101,0,6,0,20,0,10,0,7
SortFactory,net.mooctest,AlgorithmManager,1,79,1,7,1,17,1,8,0,5
SortFactory,net.mooctest,MultiThreadedSearch,0,115,0,12,0,20,0,11,0,5
SortFactory,net.mooctest,ConcurrencyException,0,4,0,0,0,2,0,1,0,1
SortFactory,net.mooctest,AlgorithmNotFoundException,0,4,0,0,0,2,0,1,0,1
SortFactory,net.mooctest,LinkedListDataStructure,0,159,0,16,0,39,0,15,0,7
SortFactory,net.mooctest,DynamicAlgorithmManager,5,55,0,8,2,14,0,8,0,4
SortFactory,net.mooctest,AlgorithmFactory,0,37,0,4,0,6,0,5,0,2
SortFactory,net.mooctest,BubbleSort,0,126,1,9,0,26,1,10,0,6
SortFactory,net.mooctest,BSTDataStructure,0,139,1,9,0,30,1,13,0,9
